model,environment,complexity,grammar,instruction_type,reward_type,average_success_rate,std_success_rate,random_agent_average_success_rate,random_agent_std_success_rate,evaluated_env
curriculum_step_cost,U_perspire_Approach2_502763.3333333333_1556832.6315789474.z8,0-0.26,6,complete,step_cost,0.3,0.0,0.0,0.0,unseen
curriculum_step_cost,DJI_perspire_Boundaries_567103.001_1148480.001.z8,0.51-0.76,6,complete,step_cost,0.11,0.0,0.0,0.0,unseen
curriculum_step_cost,DJI_perspire_Boundaries_567103.001_1148480.001.z8,0.51-0.76,6,incomplete,step_cost,0.136,5.2,0.0,0.0,unseen
curriculum_step_cost,XT_arial_Approach1_545363.0_2531400.0.z8,0.51-0.76,6,complete,step_cost,0.3,0.0,0.0,0.0,unseen
curriculum_step_cost,UJ_Average-Regular_Approach2_525077.0_1583514.0.z8,0.51-0.76,6,complete,step_cost,0.3,0.0,0.0,0.0,unseen
curriculum_step_cost,EL_Average-Regular_Approach2_527742.0_1179125.0.z8,0.51-0.76,6,complete,step_cost,0.224,9.308,0.0,0.0,unseen
curriculum_step_cost,EL_Average-Regular_Approach2_527742.0_1179125.0.z8,0.51-0.76,6,incomplete,step_cost,0.11,0.0,0.0,0.0,unseen
curriculum_step_cost,TSM_Average-Regular_Approach2_525108.7512146088_1548825.2932652035.z8,0.76-1,6,complete,step_cost,0.242,8.863,0.0,0.0,unseen
curriculum_step_cost,HI_Average-Regular_Approach2_527064.7758286778_1263294.0.z8,0.51-0.76,4,complete,step_cost,0.262,7.6,0.0,0.0,seen
curriculum_step_cost,B_Average-Regular_Approach1_545111.0_1062824.0.z8,0.51-0.76,4,complete,step_cost,0.281,5.7,0.0,0.0,seen
curriculum_step_cost,B_Average-Regular_Approach1_545111.0_1062824.0.z8,0.51-0.76,4,incomplete,step_cost,0.24,0.0,0.0,0.0,seen
curriculum_step_cost,ZGC_Average-Regular_Approach1_545153.9763877091_1771510.7893767639.z8,0.76-1,4,complete,step_cost,0.243,8.707,0.0,0.0,seen
curriculum_step_cost,KIW_Average-Regular_Approach1_546260.0_1366824.0.z8,0.76-1,4,complete,step_cost,0.281,5.7,0.0,0.0,seen
curriculum_step_cost,KIW_Average-Regular_Approach1_546260.0_1366824.0.z8,0.76-1,4,incomplete,step_cost,0.175,6.5,0.0,0.0,seen
curriculum_step_cost,JCD_Average-Regular_Approach1_547524.3349056605_1331096.278301887.z8,0.51-0.76,4,complete,step_cost,0.28,5.675,0.0,0.0,seen
curriculum_step_cost,CRK_Average-Regular_Approach1_549281.0_1106372.0.z8,0.76-1,4,complete,step_cost,0.262,7.6,0.0,0.0,seen
curriculum_step_cost,CRK_Average-Regular_Approach1_549281.0_1106372.0.z8,0.76-1,4,incomplete,step_cost,0.227,3.9,0.0,0.0,seen
curriculum_step_cost,IP_arial_Approach2_525753.0_2026037.3333333335.z8,0.26-0.51,4,complete,step_cost,0.298,0.4,0.0,0.0,seen
curriculum_step_cost,CBS_Average-Regular_Approach1_546832.3784065933_1092279.5.z8,0.51-0.76,4,complete,step_cost,0.278,5.636,0.0,0.0,seen
curriculum_step_cost,CBS_Average-Regular_Approach1_546832.3784065933_1092279.5.z8,0.51-0.76,4,incomplete,step_cost,0.175,6.5,0.0,0.0,seen
curriculum_step_cost,ETC_perspire_Approach2_500320.0_1195620.0.z8,0-0.26,4,complete,step_cost,0.3,0.0,0.0,0.0,seen
curriculum_step_cost,ETC_perspire_Approach2_500320.0_1195620.0.z8,0-0.26,4,incomplete,step_cost,0.24,0.0,0.0,0.0,seen
curriculum_step_cost,BEV_Average-Regular_Approach1_547933.6927655565_1066661.104115366.z8,0.76-1,4,complete,step_cost,0.262,7.6,0.0,0.0,seen
curriculum_step_cost,BEV_Average-Regular_Approach1_547933.6927655565_1066661.104115366.z8,0.76-1,4,incomplete,step_cost,0.24,0.0,0.0,0.0,seen
curriculum_step_cost,A_Average-Regular_Approach2_525768.0_999991.0.z8,0.51-0.76,4,complete,step_cost,0.3,0.0,0.0,0.0,seen
curriculum_step_cost,A_Average-Regular_Approach2_525768.0_999991.0.z8,0.51-0.76,4,incomplete,step_cost,0.227,3.9,0.0,0.0,seen
curriculum_step_cost,BO_Average-Regular_Approach1_546697.093434728_1077862.5473172662.z8,0.51-0.76,4,complete,step_cost,0.262,7.6,0.0,0.0,seen
curriculum_step_cost,BO_Average-Regular_Approach1_546697.093434728_1077862.5473172662.z8,0.51-0.76,4,incomplete,step_cost,0.175,6.5,0.0,0.0,seen
curriculum_step_cost,AEY_Average-Regular_Approach1_546472.9076679603_1012256.9294065498.z8,0.51-0.76,4,complete,step_cost,0.281,5.7,0.0,0.0,seen
curriculum_step_cost,AEY_Average-Regular_Approach1_546472.9076679603_1012256.9294065498.z8,0.51-0.76,4,incomplete,step_cost,0.227,3.9,0.0,0.0,seen
curriculum_step_cost,VNM_Average-Regular_Approach1_546015.6294029708_1657533.519746642.z8,0.76-1,4,complete,step_cost,0.243,8.707,0.067,0.249,seen
curriculum_step_cost,VNM_Average-Regular_Approach1_546015.6294029708_1657533.519746642.z8,0.76-1,4,incomplete,step_cost,0.214,5.2,0.0,0.0,seen
curriculum_step_cost,WW_Average-Regular_Approach1_546610.6666666666_1708853.5364495006.z8,0.76-1,4,complete,step_cost,0.281,5.7,0.0,0.0,seen
curriculum_step_cost,WW_Average-Regular_Approach1_546610.6666666666_1708853.5364495006.z8,0.76-1,4,incomplete,step_cost,0.24,0.0,0.0,0.0,seen
curriculum_step_cost,CUH_Average-Regular_Approach1_548197.6381731405_1114581.6465456714.z8,0.76-1,4,complete,step_cost,0.205,9.5,0.0,0.0,seen
curriculum_step_cost,CUH_Average-Regular_Approach1_548197.6381731405_1114581.6465456714.z8,0.76-1,4,incomplete,step_cost,0.188,6.369,0.0,0.0,seen
curriculum_step_cost,MMK_arial_Approach1_545263.125_2189438.620689655.z8,0.51-0.76,4,complete,step_cost,0.281,5.7,0.0,0.0,seen
curriculum_step_cost,MMK_arial_Approach1_545263.125_2189438.620689655.z8,0.51-0.76,4,incomplete,step_cost,0.24,0.0,0.0,0.0,seen
curriculum_step_cost,ARV_Average-Regular_Approach1_547077.0340263674_1030550.9709598336.z8,0.76-1,4,complete,step_cost,0.243,8.707,0.0,0.0,seen
