Wall time,Step,Value
1739953703.2796352,11325440,1428.0
1739953704.8514981,11327488,1427.0
1739953720.5606198,11350016,1428.0
1739953723.4015546,11354112,1428.0
1739953754.7199636,11399168,1429.0
1739953786.2297797,11444224,1429.0
1739953839.022242,11520000,1430.0
1739953915.3813543,11620352,1469.0
1739953935.2629693,11649024,1458.0
1739953963.5523205,11689984,1454.0
1739954014.7870657,11763712,1448.0
1739954024.6330726,11778048,1449.0
1739954039.0833268,11798528,1446.0
1739954056.2044003,11823104,1445.0
1739954060.6419706,11829248,1443.0
1739954063.597806,11833344,1442.0
1739954065.019363,11835392,1442.0
1739954098.3226583,11882496,1438.0
1739954110.1420963,11898880,1435.0
1739954171.2443154,11986944,1436.0
1739954219.437057,12056576,1437.0
1739954244.8914104,12083200,1613.0
1739954246.4270554,12085248,1548.0
1739954249.1151655,12089344,1541.0
1739954343.2081094,12224512,1445.0
1739954350.2036994,12234752,1447.0
1739954354.6820195,12240896,1444.0
1739954365.8659484,12257280,1446.0
1739954390.691437,12292096,1438.0
1739954404.130291,12310528,1433.0
1739954414.3573525,12324864,1431.0
1739954423.0433784,12337152,1430.0
1739954431.3598075,12349440,1432.0
1739954432.834016,12351488,1432.0
1739954482.0307276,12423168,1437.0
1739954493.3070133,12439552,1438.0
1739954526.390829,12486656,1436.0
1739954529.2055824,12490752,1436.0
1739954530.5275357,12492800,1437.0
1739954570.688703,12550144,1436.0
1739954576.188753,12558336,1436.0
1739954580.1753783,12562432,1432.0
1739954616.097627,12603392,1490.0
1739954623.0365722,12613632,1486.0
1739954625.831865,12617728,1483.0
1739954628.6319861,12621824,1482.0
1739954665.192147,12675072,1468.0
1739954717.7548792,12750848,1456.0
1739954726.3885663,12763136,1454.0
1739954740.6190665,12783616,1452.0
1739954746.3431072,12791808,1451.0
1739954752.0123615,12800000,1451.0
1739954772.153186,12828672,1448.0
1739954783.8799202,12845056,1445.0
1739954823.871076,12902400,1443.0
1739954826.6080797,12906496,1443.0
1739954836.6566155,12920832,1443.0
1739954848.203017,12937216,1441.0
1739954849.618413,12939264,1441.0
1739954854.056534,12945408,1440.0
1739954874.5880497,12974080,1437.0
1739954894.69832,13002752,1436.0
1739954900.2004032,13010944,1437.0
1739954903.0943608,13015040,1437.0
1739954921.8193536,13041664,1436.0
1739954937.9178212,13064192,1434.0
1739954939.3328552,13066240,1434.0
1739954946.4931717,13076480,1434.0
1739954950.4728425,13080576,2697.0
1739954954.6840596,13086720,1648.0
1739955007.5918622,13162496,1450.0
1739955033.8042266,13199360,1436.0
1739955061.178881,13238272,1433.0
1739955069.7683086,13250560,1432.0
1739955084.1961348,13271040,1431.0
1739955104.2547483,13299712,1431.0
1739955129.8967385,13336576,1432.0
1739955134.2141,13342720,1431.0
1739955135.7292428,13344768,1431.0
